Weather,Picture
晴天,sunny
晴午後短暫陣雨,sunny
晴午後短暫雷陣雨,sunny
晴有霧,sunny
陰天,cloudy
多雲,cloudy
多雲時陰,cloudy
陰時多雲,cloudy
多雲時陰有雨,cloudy
多雲短暫雨,cloudy
多雲時陰短暫雨,cloudy
多雲局部雨,cloudy
多雲時陰局部雨,cloudy
多雲時陰陣雨,cloudy
多雲短暫陣雨,cloudy
多雲時陰短暫陣雨,cloudy
多雲局部陣雨,cloudy
多雲時陰局部陣雨,cloudy
多雲午後短暫陣雨,cloudy
多雲時陰陣雨或雷雨,cloudy
多雲短暫陣雨或雷雨,cloudy
多雲時陰短暫陣雨或雷雨,cloudy
多雲局部陣雨或雷雨,cloudy
多雲時陰局部陣雨或雷雨,cloudy
多雲午後短暫雷陣雨,cloudy
陰時多雲有雨,cloudy
陰時多雲短暫雨,cloudy
陰時多雲局部雨,cloudy
陰時多雲陣雨,cloudy
陰時多雲短暫陣雨,cloudy
陰時多雲局部陣雨,cloudy
陰時多雲陣雨或雷雨,cloudy
陰時多雲短暫陣雨或雷雨,cloudy
陰時多雲局部陣雨或雷雨,cloudy
多雲有霧,cloudy
多雲時陰有霧,cloudy
陰時多雲有霧,cloudy
多雲局部雨有霧,cloudy
多雲時陰局部雨有霧,cloudy
多雲局部陣雨有霧,cloudy
多雲時陰局部陣雨有霧,cloudy
陰時多雲局部雨有霧,cloudy
陰時多雲局部陣雨有霧,cloudy
多雲局部陣雨或雷雨有霧,cloudy
多雲時陰局部陣雨或雷雨有霧,cloudy
陰時多雲局部陣雨或雷雨有霧,cloudy
多雲時陰有雨或雪,cloudy
陰時多雲有雨或雪,cloudy
多雲短暫雨或雪,cloudy
多雲時陰短暫雨或雪,cloudy
陰時多雲短暫雨或雪,cloudy
陰有霧,cloudy
陰陣雨,cloudy
陰短暫雨,cloudy
陰局部雨,cloudy
陰短暫陣雨,cloudy
陰局部陣雨,cloudy
陰陣雨或雷雨,cloudy
陰短暫陣雨或雷雨,cloudy
陰局部陣雨或雷雨,cloudy
陰局部雨有霧,cloudy
陰局部陣雨有霧,cloudy
陰局部陣雨或雷雨有霧,cloudy
陰有雨或雪,cloudy
陰短暫雨或雪,cloudy
晴時多雲,sunny
晴時多雲有霧,sunny
多雲時晴,sunny
多雲時晴有霧,sunny
陰有雨,rain
陣雨,rain
